race_id,rank,frame_number,horse_number,horse_id,sex_and_age,burden_weight,rider_id,goal_time,goal_time_dif,time_value,half_way_rank,last_time,odds,popular,horse_weight,tame_time,tamer_id,owner_id
202006010903,中,4,7,2017104268,牡3,56,00726,,,**,,,159.3,11,478(+22),,01109,629800
202006010904,1,7,12,2013101162,牡7,60,01059,3:14.4,,,5-5-1-1,13.5,3.5,2,472(-2),,01114,892800
202006010904,2,6,10,2015104384,牡5,60,01035,3:15.3,5,,3-3-3-3,13.6,3.3,1,536(0),,01110,415800
202006010904,3,8,13,2013105662,セ7,60,01149,3:15.7,2.1/2,,7-7-3-3,13.6,21.4,8,498(+6),,01012,758005
202006010904,4,2,2,2016103545,牡4,59,01123,3:17.0,8,,3-4-5-5,13.7,13.2,6,484(+14),,00436,838030
202006010904,5,1,1,2015101785,牡5,60,01061,3:17.3,2,,9-9-9-8,13.7,5.3,3,512(0),,01005,897009
202006010904,6,4,5,2013102275,牡7,60,01113,3:17.9,3.1/2,,2-2-2-2,13.7,8.1,4,496(+4),,01100,603033
202006010904,7,5,8,2014100235,牡6,60,01120,3:18.4,3,,8-8-6-6,13.8,20.2,7,466(+6),,01096,759030
202006010904,8,4,6,2016100662,牝4,57,01119,3:19.2,5,,5-6-6-7,13.8,164.4,14,480(+8),,00428,629800
202006010904,9,6,9,2016102297,牡4,59,00727,3:20.5,8,,12-12-11-9,13.9,122.7,13,482(+8),,00412,674004
202006010904,10,3,4,2014102038,セ6,60,01052,3:20.6,クビ,,11-11-11-10,13.9,24.0,9,468(+8),,01132,098803
202006010904,11,3,3,2016102687,牡4,59,01008,3:22.2,10,,9-10-10-10,14.0,57.7,10,472(+2),,01093,027803
202006010904,12,5,7,2015104477,牡5,60,01069,3:22.2,アタマ,,12-12-13-13,14.0,10.8,5,514(+2),,01017,172002
202006010904,13,8,14,2015100137,牡5,60,01087,3:29.6,大,,1-1-8-10,14.6,100.8,11,488(+10),,01116,224007
202006010904,中,7,11,2016102049,牝4,57,01023,,,,,,111.2,12,484(+2),,01027,948800
202006010905,1,1,1,2017105011,牝3,54,00660,1:37.4,,**,14-13-11,35.5,6.9,5,466(+8),,01115,808800
202006010905,2,5,9,2017106315,牝3,54,00733,1:37.4,クビ,**,10-11-10,35.7,26.8,8,480(0),,01134,402033
202006010905,3,4,7,2017101525,牡3,56,01127,1:37.7,1.1/2,**,12-11-8,36.1,6.9,4,452(+2),,01163,477030
202006010905,4,6,12,2017100159,牡3,56,01162,1:37.8,1/2,**,3-5-3,36.6,9.1,6,520(-4),,01109,427030
202006010905,5,6,11,2017110034,牝3,54,05339,1:38.0,1,**,4-5-7,36.8,3.0,1,466(-6),,01126,003060
202006010905,6,5,10,2017104926,牡3,56,01075,1:38.1,3/4,**,6-8-5,36.6,5.3,2,442(+6),,00423,333030
202006010905,7,2,4,2017104914,牝3,54,00422,1:38.3,1.1/2,**,1-1-1,37.6,43.8,10,396(+4),,00420,829800
202006010905,8,3,6,2017104270,牝3,54,05575,1:38.4,1/2,**,10-7-8,37.0,6.6,3,472(-2),,01086,629800
202006010905,9,4,8,2017105991,牝3,54,05517,1:38.6,1.1/4,**,14-15-14,36.4,30.1,9,516(-6),,01103,007803
202006010905,10,7,14,2017103309,牝3,54,01096,1:38.7,1/2,**,2-2-2,37.8,15.4,7,462(0),,01088,906033
202006010905,11,7,13,2017100722,牡3,56,00641,1:39.0,2,**,6-4-5,37.9,155.5,12,462(+14),,01167,470030
202006010905,12,8,16,2017110021,セ3,56,01085,1:39.7,4,**,4-2-3,38.7,91.9,11,472(0),,01119,003060
202006010905,13,1,2,2017104797,牝3,52,01167,1:40.3,3.1/2,**,6-8-11,38.8,431.2,16,450(+8),,01008,537006
202006010905,14,8,15,2017101155,セ3,56,01118,1:41.1,5,**,12-13-15,39.2,337.7,14,476(-12),,01096,493006
202006010905,15,2,3,2017101774,牝3,53,01161,1:41.4,1.3/4,**,6-8-13,39.9,366.3,15,378(0),,01112,329004
202006010905,16,3,5,2017106543,牝3,54,01119,1:45.6,大,**,16-16-16,40.1,179.9,13,436(0),,01134,441009
202006010906,1,8,16,2017104240,牡3,56,00689,1:56.3,,**,2-3-2-2,38.7,28.5,9,474(0),,01027,877800
202006010906,2,2,4,2017103441,牝3,54,00733,1:57.2,5,**,7-7-6-4,39.3,13.9,6,450(0),,01118,553800
202006010906,3,1,1,2017103649,牡3,56,01096,1:57.9,4,**,1-1-1-1,40.3,4.3,2,506(0),,01116,851009
202006010906,4,4,7,2017104913,牡3,56,01162,1:58.4,3,**,8-8-8-5,40.3,43.6,11,538(0),,01147,758005
202006010906,5,6,11,2017100450,牡3,56,01140,1:58.7,1.3/4,**,13-13-11-11,39.8,138.1,14,446(0),,01024,358031
202006010906,6,7,14,2017105148,牡3,56,00422,1:59.1,2.1/2,**,9-9-4-5,41.3,9.2,3,490(0),,01153,758005
202006010906,7,1,2,2017103544,牡3,56,01085,1:59.4,1.3/4,**,2-2-2-2,41.7,9.7,4,500(0),,01078,823800
202006010906,8,5,10,2017105122,牡3,56,01127,1:59.7,1.3/4,**,15-14-14-12,39.2,26.7,8,496(0),,01068,486800
202006010906,9,2,3,2017100569,牡3,56,01149,1:59.7,クビ,**,10-10-10-9,41.0,172.1,15,482(0),,01118,523005
202006010906,10,8,15,2017104745,牡3,56,05517,2:00.9,7,**,10-11-6-8,43.0,21.6,7,484(0),,01133,310007
202006010906,11,3,6,2017103801,牝3,54,05575,2:01.0,1/2,**,4-4-4-5,43.2,2.1,1,490(0),,01103,669007
202006010906,12,6,12,2017103706,牡3,55,01161,2:01.3,1.3/4,**,16-16-15-14,39.3,271.9,16,476(0),,01035,832008
202006010906,13,3,5,2017102551,牡3,56,01169,2:01.9,3.1/2,**,5-5-8-9,43.7,13.8,5,522(0),,01159,854800
202006010906,14,7,13,2017106194,牡3,55,01158,2:04.6,大,**,10-11-13-14,44.2,79.3,12,522(0),,00399,399009
202006010906,15,4,8,2017103778,牡3,56,01029,2:07.9,大,**,5-6-12-13,48.5,109.4,13,494(0),,00392,624007
202006010906,中,5,9,2017104805,牡3,56,01051,,,**,14-15-16-16,,41.6,10,478(0),,00408,310007
202006010907,1,3,5,2015104214,牝5,55,01169,1:11.6,,**,3-3,36.9,267.7,16,452(+2),,01094,796002
202006010907,2,2,3,2015103313,牡5,57,01127,1:11.7,1/2,**,6-5,36.8,6.5,3,514(-2),,00359,536800
202006010907,3,1,1,2015105470,牝5,54,01161,1:11.7,クビ,**,1-1,37.4,2.8,1,536(+4),,01115,854800
202006010907,4,3,6,2014100729,牡6,57,01029,1:11.9,1,**,11-8,36.6,16.2,9,492(-8),,01005,528033
202006010907,5,5,10,2016101377,牝4,54,00726,1:11.9,クビ,**,7-6,36.9,23.8,10,464(0),,01024,571006
202006010907,6,5,9,2016102368,牝4,54,01043,1:12.0,クビ,**,14-11,36.4,15.6,8,430(-8),,00421,855030
202006010907,7,8,16,2012100085,牡8,57,00684,1:12.1,1/2,**,13-11,36.6,67.2,12,522(0),,01063,149002
202006010907,8,6,12,2016102052,牡4,56,01129,1:12.1,クビ,**,5-6,37.3,10.6,4,490(+8),,01089,972002
202006010907,9,2,4,2016101956,牡4,56,01077,1:12.5,2.1/2,**,3-3,37.9,13.5,6,484(-4),,01156,854800
202006010907,10,7,14,2016102973,牝4,54,01140,1:12.7,1,**,15-15,36.9,89.7,13,452(+2),,01077,059803
