race_id,race_round,race_title,race_course,weather,ground_status,time,date,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3
201906030401,1 R,3歳未勝利,ダ右1800m,天候 : 曇,ダート : 稍重,09:50,2019年3月31日,3回中山4日目,16,8,15,2,4,2,3,"1,680",490,160,420,"2,490","2,840",920,"3,780",920,"8,130","14,860","120,060"
201906030402,2 R,3歳未勝利,ダ右1200m,天候 : 曇,ダート : 稍重,10:20,2019年3月31日,3回中山4日目,16,8,15,5,10,6,12,470,160,110,230,420,460,250,960,440,"1,090","1,910","9,070"
201906030403,3 R,3歳未勝利,芝右 外1600m,天候 : 曇,芝 : 稍重,10:50,2019年3月31日,3回中山4日目,16,7,13,5,10,1,1,250,110,120,140,450,370,190,260,280,620,520,"1,700"
201906030404,4 R,障害4歳以上未勝利,障芝 ダート2880m,天候 : 曇,芝 : 稍重  ダート : 稍重,11:20,2019年3月31日,3回中山4日目,14,7,12,1,1,2,2,300,150,190,260,"1,080","1,240",460,670,"1,100","1,910","3,570","14,640"
201906030405,5 R,3歳未勝利,ダ右1800m,天候 : 曇,ダート : 稍重,12:10,2019年3月31日,3回中山4日目,16,1,1,3,5,7,13,350,130,200,120,720,"1,590",430,200,460,"2,260","1,160","7,750"
201906030406,6 R,3歳500万下,芝右 外1600m,天候 : 曇,芝 : 稍重,12:40,2019年3月31日,3回中山4日目,10,8,10,7,7,7,8,480,150,120,120,240,"1,100",350,280,190,"2,320",670,"5,590"
201906030407,7 R,4歳以上500万下,ダ右1800m,天候 : 曇,ダート : 稍重,13:10,2019年3月31日,3回中山4日目,10,6,6,3,3,7,7,640,220,140,330,"1,390","1,340",460,"1,410",790,"2,560","5,750","27,900"
201906030408,8 R,4歳以上500万下,芝右2000m,天候 : 晴,芝 : 良,13:40,2019年3月31日,3回中山4日目,10,5,5,4,4,3,3,240,120,150,290,430,400,210,470,630,680,"1,090","3,560"
201906030409,9 R,安房特別 ,芝右2500m,天候 : 晴,芝 : 良,14:15,2019年3月31日,3回中山4日目,10,1,1,8,10,7,8,170,110,190,140,320,"1,360",410,190,670,"1,750","1,480","6,260"
201906030410,10 R,伏竜ステークス ,ダ右1800m,天候 : 晴,ダート : 良,14:50,2019年3月31日,3回中山4日目,8,8,8,7,7,4,4,160,110,220,510,690,0,330,790,"1,960",860,"3,610","9,180"
