race_id,rank,frame_number,horse_number,horse_id,sex_and_age,burden_weight,rider_id,goal_time,goal_time_dif,time_value,half_way_rank,last_time,odds,popular,horse_weight,tame_time,tamer_id,owner_id
201906030401,1,8,15,2016100466,牝3,53,01166,1:55.8,,**,1-1-1-1,40.5,16.8,7,460(+4),,01056,334009
201906030401,2,2,4,2016100767,牝3,54,01096,1:57.0,7,**,11-11-8-8,40.6,3.3,1,480(0),,01081,712033
201906030401,3,2,3,2016106150,牝3,54,01150,1:57.2,1.1/4,**,6-6-5-5,41.3,16.1,6,484(-6),,01076,905033
201906030401,4,4,8,2016102733,牝3,54,01025,1:57.6,2.1/2,**,2-2-2-2,42.2,7.6,4,454(+8),,01094,013803
201906030401,5,3,6,2016105497,牝3,54,01122,1:57.6,ハナ,**,7-6-7-6,41.5,4.0,2,496(0),,01097,851009
201906030401,6,1,2,2016105675,牝3,54,01009,1:57.7,1/2,**,2-2-3-3,42.1,4.4,3,438(0),,00359,027803
201906030401,7,3,5,2016102983,牝3,53,01162,1:58.5,5,**,9-8-11-10,41.8,46.9,10,426(+4),,01106,812008
201906030401,8,5,9,2016105476,牝3,51,01179,1:58.5,ハナ,**,11-11-12-11,41.5,119.0,12,456(-6),,01165,851009
201906030401,9,4,7,2016102455,牝3,52,01158,1:58.5,クビ,**,14-14-13-11,41.0,175.4,13,512(-2),,01118,304030
201906030401,10,5,10,2016102890,牝3,54,01092,1:58.8,1.3/4,**,7-8-8-8,42.5,28.9,9,480(0),,01026,905033
201906030401,11,6,12,2016103362,牝3,53,01169,1:58.9,1/2,**,15-15-15-15,40.8,21.4,8,444(+8),,01125,284008
201906030401,12,7,13,2016101509,牝3,54,01109,1:59.4,3,**,13-13-13-14,41.9,350.8,16,420(-4),,01167,061031
201906030401,13,7,14,2016105996,牝3,54,01140,1:59.5,1/2,**,5-5-5-6,43.6,228.6,14,460(0),,00417,599033
201906030401,14,6,11,2016103022,牝3,53,01170,2:00.0,3,**,2-2-3-4,44.4,10.7,5,486(-6),,01145,854800
201906030401,15,1,1,2016101570,牝3,54,01118,2:00.3,1.3/4,**,16-16-16-15,42.1,241.5,15,418(+2),,01081,619002
201906030401,16,8,16,2016103408,牝3,54,00733,2:01.5,7,**,10-8-10-13,44.9,111.9,11,442(-6),,00405,173033
201906030402,1,8,15,2016106164,牝3,53,01170,1:12.1,,**,1-1,38.0,4.7,2,450(0),,01147,675030
201906030402,2,5,10,2016101539,牡3,56,01096,1:13.6,9,**,6-6,38.9,1.7,1,506(0),,01116,170800
201906030402,3,6,12,2016103753,牡3,56,01029,1:13.7,1/2,**,6-7,39.0,15.1,4,540(+6),,01112,934006
201906030402,4,7,13,2016106607,牡3,56,01118,1:13.7,ハナ,**,2-2,39.5,5.5,3,512(+8),,01031,340800
201906030402,5,7,14,2016100185,牡3,55,01162,1:13.8,3/4,**,3-3,39.5,21.8,7,464(-2),,01106,919002
201906030402,6,2,3,2016105902,牝3,52,01158,1:13.9,クビ,**,4-3,39.5,17.5,6,448(+6),,01153,040700
201906030402,6,6,11,2016100303,牝3,54,01122,1:13.9,同着,**,16-13,38.0,78.9,10,424(+4),,01125,284008
201906030402,8,1,2,2016103285,牝3,54,00641,1:13.9,クビ,**,4-3,39.5,17.2,5,418(-2),,00420,414030
201906030402,9,1,1,2016101622,牡3,53,01167,1:14.6,4,**,10-10,39.5,374.8,15,430(-4),,01156,448033
201906030402,10,3,5,2016101870,牡3,55,01169,1:14.6,クビ,**,14-14,38.9,188.4,13,452(-2),,01031,813007
201906030402,11,3,6,2016105625,牡3,56,00422,1:14.8,1,**,6-8,40.1,140.9,11,468(-2),,00417,629800
201906030402,12,4,8,2016103908,セ3,56,01051,1:14.9,1/2,**,12-11,39.5,142.9,12,452(+14),,00408,017033
201906030402,13,4,7,2016101633,牡3,56,01091,1:14.9,アタマ,**,6-8,40.2,52.2,8,464(-4),,01031,609009
201906030402,14,5,9,2016101647,牝3,51,01164,1:15.6,4,**,10-11,40.4,67.6,9,482(-4),,01165,911008
201906030402,15,2,4,2016109137,牝3,52,01161,1:16.2,3.1/2,**,14-14,40.6,339.2,14,426(+4),,01131,970006
201906030402,16,8,16,2016103621,牝3,51,01175,1:16.5,1.3/4,**,12-14,41.1,436.6,16,418(-6),,01143,946030
201906030403,1,7,13,2016106044,牝3,54,01122,1:35.5,,**,2-2-2,35.0,2.5,1,486(-6),,00399,994002
201906030403,2,5,10,2016104628,牝3,54,01077,1:36.0,3,**,3-3-3,35.4,3.3,2,440(0),,01126,790005
201906030403,3,1,1,2016106541,牡3,53,01164,1:36.2,1.1/4,**,6-4-4,35.5,5.3,3,484(-2),,01020,362030
201906030403,4,8,16,2016104363,牝3,54,01131,1:36.5,1.3/4,**,15-11-9,35.1,31.0,7,436(0),,01059,415800
201906030403,5,4,8,2016100720,牝3,54,01009,1:36.5,ハナ,**,13-9-8,35.3,152.4,13,472(+10),,01143,546800
201906030403,6,2,3,2016103916,牝3,53,01169,1:36.6,1/2,**,10-11-11,35.1,5.5,4,418(-4),,01027,965030
201906030403,7,4,7,2016104237,牡3,56,05243,1:36.6,アタマ,**,6-6-5,35.6,68.4,9,472(0),,01119,331002
201906030403,8,6,11,2016104991,セ3,56,00422,1:36.6,クビ,**,3-4-5,35.8,22.6,5,448(+2),,01063,075803
201906030403,9,8,15,2016102829,牝3,53,01166,1:36.8,1,**,1-1-1,36.4,116.2,12,494(-6),,01056,933008
201906030403,10,2,4,2016101626,牡3,56,00684,1:37.4,3.1/2,**,13-14-13,35.7,34.1,8,494(-6),,01052,373008
201906030403,11,7,14,2016105244,セ3,54,01158,1:37.4,ハナ,**,6-9-9,36.2,107.7,11,442(+10),,01133,758005
201906030403,12,3,6,2016103656,牝3,54,01109,1:37.6,1.1/4,**,6-6-7,36.6,84.2,10,406(-6),,01010,674004
201906030403,13,6,12,2016103257,牝3,51,01179,1:37.7,1/2,**,11-14-16,36.0,30.9,6,430(0),,01088,798008
201906030403,14,1,2,2016103570,牝3,54,01029,1:37.7,アタマ,**,16-16-15,35.9,163.8,14,416(0),,01014,771009
201906030403,15,3,5,2016101376,牡3,56,01134,1:38.3,3.1/2,**,11-11-13,36.8,273.7,15,464(+12),,01077,201033
201906030403,16,5,9,2016106442,牡3,53,01167,1:39.2,5,**,3-6-11,38.2,388.6,16,536(+4),,01043,338006
201906030404,1,7,12,2014103515,牡5,60,01080,3:11.4,,,7-6-1-1,13.3,3.0,2,468(-6),,01041,789006
201906030404,2,1,1,2015104633,牡4,59,01052,3:11.6,1.1/2,,6-6-3-2,13.3,8.4,4,460(0),,00423,333030
201906030404,3,2,2,2012100517,牡7,60,01067,3:12.6,6,,3-3-7-8,13.4,6.7,3,460(-6),,00422,859002
201906030404,4,3,4,2012105800,牡7,60,01068,3:12.9,1.3/4,,9-9-8-6,13.4,12.7,6,476(0),,01103,482002
201906030404,5,4,6,2015105417,牡4,59,01023,3:13.5,3.1/2,,8-8-8-8,13.4,162.9,12,462(-2),,01167,906033
201906030404,6,7,11,2013105448,セ6,60,01069,3:13.8,1.3/4,,2-2-2-3,13.5,12.1,5,540(+14),,00386,208008
201906030404,7,8,14,2012106377,牡7,60,00727,3:14.0,1.1/2,,10-9-10-6,13.5,3.0,1,466(+4),,01159,184033
201906030404,8,8,13,2014103872,牡5,60,00652,3:14.1,1/2,,3-5-3-4,13.5,14.5,7,478(-4),,01095,712800
201906030404,9,6,9,2015101395,牡4,59,01120,3:14.8,4,,3-3-6-5,13.5,36.1,8,514(-8),,01152,044803
201906030404,10,3,3,2015100734,牡4,59,00695,3:16.8,大,,12-12-12-12,13.7,43.8,9,522(-6),,01026,716800
201906030404,11,5,7,2014102416,牝5,58,01087,3:17.3,3,,11-11-11-11,13.7,191.7,13,450(+20),,01093,251033
201906030404,12,4,5,2014104161,牡5,60,01113,3:17.7,2.1/2,,1-1-3-10,13.7,49.6,10,474(-4),,01010,321800
201906030404,13,6,10,2015103900,牝4,57,01143,3:19.1,8,,13-13-13-13,13.8,261.0,14,450(+10),,00380,648002
201906030404,14,5,8,2015103151,牡4,59,01066,3:19.3,1.1/4,,14-14-14-14,13.8,85.1,11,562(0),,01117,102800
201906030405,1,1,1,2016106069,牡3,56,01029,1:56.8,,**,15-15-11-8,39.1,3.5,2,466(+4),,00436,677009
201906030405,2,3,5,2016100848,牡3,56,00422,1:56.8,アタマ,**,14-12-10-8,39.5,8.3,3,534(+2),,01093,702009
201906030405,3,7,13,2016100757,牡3,56,01009,1:56.9,3/4,**,9-9-4-2,40.0,2.8,1,508(0),,00359,546800
201906030405,4,4,8,2016105769,牡3,56,01096,1:57.2,2,**,11-11-6-6,40.0,26.7,8,456(0),,01047,493006
201906030405,5,3,6,2016100614,牡3,55,01169,1:57.3,クビ,**,8-7-2-2,40.6,8.9,5,484(-2),,01076,788800
201906030405,6,5,10,2016101599,牝3,51,01173,1:57.6,1.3/4,**,6-5-6-6,40.4,68.9,12,486(+4),,01014,163002
201906030405,7,7,14,2016105585,牡3,56,01085,1:58.0,2.1/2,**,4-3-4-2,41.1,8.7,4,466(-6),,01038,399009
201906030405,8,5,9,2016102272,牡3,56,01109,1:58.1,クビ,**,9-9-12-10,40.1,51.0,11,484(-14),,01143,137030
201906030405,9,2,4,2016105530,牡3,56,01092,1:58.2,3/4,**,2-2-2-1,41.6,32.0,9,478(-6),,01051,854800
201906030405,10,8,15,2016100787,牡3,54,01158,2:00.8,大,**,12-12-13-13,42.3,233.8,16,488(+2),,01080,070803
201906030405,11,2,3,2016101839,牡3,53,01164,2:01.3,3,**,1-1-1-2,44.7,14.3,6,514(-2),,01145,138800
201906030405,12,6,12,2016105440,セ3,56,01118,2:01.4,1/2,**,15-15-14-14,42.5,215.8,15,476(-2),,01093,851007
201906030405,13,6,11,2016100118,牡3,56,00733,2:02.7,8,**,4-5-6-11,45.5,100.7,13,470(-2),,01134,127002
201906030405,14,4,7,2016103803,牡3,53,01179,2:02.9,1,**,3-3-6-11,45.8,43.2,10,500(0),,01127,628007
201906030405,15,1,2,2016102741,牡3,56,01025,2:06.5,大,**,13-14-15-15,47.2,113.1,14,488(0),,01100,013803
201906030405,中,8,16,2016100427,牡3,55,01162,,,**,7-7-16,,20.3,7,472(-8),,01141,897009
201906030406,1,8,10,2016100151,牡3,54,01161,1:35.0,,**,3-2-2,34.7,4.8,3,486(-6),,01115,425030
201906030406,2,7,7,2016104630,牡3,56,01150,1:35.3,1.3/4,**,5-4-4,34.7,3.3,1,504(-4),,01070,708800
201906030406,3,7,8,2016101865,牡3,56,01025,1:35.3,アタマ,**,6-6-6,34.5,3.4,2,502(+2),,00412,098803
201906030406,4,6,6,2016101053,牡3,56,01096,1:35.5,1.1/4,**,2-2-2,35.3,16.0,6,422(0),,01051,669033
201906030406,5,2,2,2016103906,牡3,55,01169,1:35.7,3/4,**,10-10-9,34.5,16.3,7,472(+4),,01118,092700
201906030406,6,8,9,2016104241,牝3,54,01077,1:36.0,2,**,9-8-8,35.1,5.0,4,464(+4),,01126,274008
201906030406,7,1,1,2016100753,牝3,54,01091,1:36.1,クビ,**,4-4-4,35.6,122.8,8,436(+8),,01169,546800
201906030406,8,4,4,2016101231,牝3,53,01166,1:36.3,1.1/4,**,7-6-6,35.6,173.3,9,450(+4),,01024,855030
201906030406,9,3,3,2016110119,牡3,56,00422,1:36.4,3/4,**,1-1-1,36.3,9.0,5,510(0),,00427,672033
